City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
186,Piacabucu,BR,81.01,broken clouds,-10.4056,-36.4344,Piaçabuçu News
191,Lompoc,US,87.13,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
192,Bitung,ID,77.85,moderate rain,1.4451,125.1824,K2 Lembeh
194,Padang,ID,78.46,light rain,-0.9492,100.3543,Mercure Padang
195,Coahuayana,MX,87.28,few clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
197,San Patricio,US,84.61,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
202,Sumbe,AO,75.16,overcast clouds,-11.2061,13.8437,Hotel Ritz Sumbe
205,Jalu,LY,76.28,few clouds,29.0331,21.5482,صاحبة الفخامة
223,Belmonte,BR,79.3,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
224,San Policarpo,PH,79.74,overcast clouds,12.1791,125.5072,Agapita M. Nicart
235,Rio Grande,BR,84.31,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
237,Dzaoudzi,YT,80.49,few clouds,-12.7887,45.2699,Le Rocher
245,Katobu,ID,75.69,overcast clouds,-4.9408,122.5276,La Ode Husein
246,Carlos Chagas,BR,82.71,scattered clouds,-17.7031,-40.7664,Minas Hotel
249,Maningrida,AU,79.79,broken clouds,-12.0667,134.2667,Dhukurrdji Lodge
253,Pontianak,ID,78.78,light rain,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
256,Poum,NC,75.51,clear sky,-20.2333,164.0167,Gîte kajeon
259,Safaga,EG,78.75,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
260,Hervey Bay,AU,75.04,clear sky,-25.2986,152.8535,Shelly Bay Resort
264,Tautira,PF,80.62,moderate rain,-17.7333,-149.15,Pension Oaoa
276,Acucena,BR,84.72,broken clouds,-19.0731,-42.5464,Hotel e Restaurante Açucena
293,Kahului,US,79.86,few clouds,20.8947,-156.47,Maui Seaside Hotel
295,Souillac,MU,75.36,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
297,Hwange,ZW,84.33,overcast clouds,-18.3693,26.5019,Hwange Colliery Guest House
299,Fort Abbas,PK,77.0,clear sky,29.1925,72.8536,AsAd's House
301,Touros,BR,86.9,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
302,Bengkulu,ID,77.4,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
