City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
145,Hamilton,US,39.1834,-84.5333,58.95,92,90,4.61,heavy intensity rain
146,Saint-Pierre,RE,-21.3393,55.4781,74.88,70,20,3.44,few clouds
147,Sao Francisco Do Sul,BR,-26.2433,-48.6381,73.11,78,75,11.5,broken clouds
148,Tabou,CI,4.423,-7.3528,78.66,83,86,6.02,overcast clouds
149,Dunedin,NZ,-45.8742,170.5036,55.2,88,96,5.93,overcast clouds
150,Ancud,CL,-41.8697,-73.8203,63.93,67,21,9.31,few clouds
151,Murupara,NZ,-38.4667,176.7,59.29,99,100,3.02,light rain
152,Sorong,ID,-0.8833,131.25,80.87,80,78,11.81,broken clouds
153,Sergeyevka,KZ,53.88,67.4158,36.88,55,25,17.36,scattered clouds
154,Tuatapere,NZ,-46.1333,167.6833,52.34,90,58,2.77,broken clouds
155,Beringovskiy,RU,63.05,179.3167,4.59,90,30,7.96,scattered clouds
156,Okha,RU,53.5739,142.9478,32.0,91,14,1.81,few clouds
157,Bapatla,IN,15.9,80.4667,76.48,92,100,5.57,overcast clouds
158,Sambava,MG,-14.2667,50.1667,75.51,79,59,5.91,broken clouds
159,Necochea,AR,-38.5473,-58.7368,86.86,41,80,11.36,broken clouds
160,Morehead,US,37.2711,-87.1764,65.14,91,90,11.5,overcast clouds
161,Meulaboh,ID,4.1363,96.1285,78.22,87,97,7.11,overcast clouds
162,Talkha,EG,31.0539,31.3779,74.25,71,100,8.86,overcast clouds
163,Hamburg,DE,53.55,10.0,55.31,79,0,8.05,clear sky
164,San Quintin,MX,30.4833,-115.95,75.87,36,0,5.97,clear sky
165,Saskylakh,RU,71.9167,114.0833,2.86,96,100,7.99,overcast clouds
166,Bayshore Gardens,US,27.4253,-82.5904,82.17,90,90,14.97,overcast clouds
167,Hobart,AU,-42.8794,147.3294,48.11,93,90,3.0,moderate rain
168,Gigmoto,PH,13.7796,124.39,79.27,86,62,12.08,broken clouds
169,Linhares,BR,-19.3911,-40.0722,80.22,61,59,9.84,broken clouds
170,Luau,AO,-10.7073,22.2247,65.07,92,100,2.37,light rain
171,Thompson,CA,55.7435,-97.8558,39.36,93,90,11.5,overcast clouds
172,Longjiang,CN,47.3303,123.1836,40.37,53,4,7.7,clear sky
173,Port Moresby,PG,-9.4431,147.1797,74.62,94,40,3.44,scattered clouds
174,Mudu,CN,31.252,120.5118,61.99,67,99,3.74,light rain
175,Mahon,ES,39.8885,4.2658,63.16,82,20,4.61,few clouds
176,Yershov,RU,51.3513,48.2766,41.0,51,100,10.02,light rain
177,Conde,BR,-7.2597,-34.9075,85.46,54,20,16.11,few clouds
178,Cayenne,GF,4.9333,-52.3333,87.84,75,100,7.0,overcast clouds
179,Norfolk,US,42.1668,-71.2495,51.46,76,90,3.0,overcast clouds
180,Hearst,CA,49.6835,-83.6665,57.45,59,100,6.46,overcast clouds
181,Bethel,US,41.3712,-73.414,59.4,67,90,0.0,overcast clouds
182,Ambilobe,MG,-13.2,49.05,74.37,87,73,3.24,light rain
183,Bilma,NE,18.6853,12.9164,85.96,14,78,5.88,broken clouds
184,Faanui,PF,-16.4833,-151.75,78.69,80,53,7.67,moderate rain
185,Sandviken,SE,60.6167,16.7667,55.44,93,100,13.44,overcast clouds
186,Piacabucu,BR,-10.4056,-36.4344,81.01,66,76,10.78,broken clouds
187,Tessalit,ML,20.1986,1.0114,88.23,15,100,10.58,overcast clouds
188,Wuda,CN,39.4994,106.7117,46.29,40,6,3.4,clear sky
189,Tutoia,BR,-2.7619,-42.2744,91.38,72,88,12.59,overcast clouds
190,Shimoda,JP,34.6667,138.95,62.71,62,0,17.31,clear sky
191,Lompoc,US,34.6391,-120.4579,87.13,38,1,1.01,clear sky
192,Bitung,ID,1.4451,125.1824,77.85,82,98,3.42,moderate rain
193,Honningsvag,NO,70.9821,25.9704,29.95,93,75,28.77,light shower snow
194,Padang,ID,-0.9492,100.3543,78.46,81,100,3.27,light rain
195,Coahuayana,MX,18.7333,-103.6833,87.28,56,12,5.1,few clouds
196,Bilibino,RU,68.0546,166.4372,-21.15,98,12,3.49,few clouds
197,San Patricio,US,28.017,-97.5169,84.61,15,0,18.86,clear sky
198,Avarua,CK,-21.2078,-159.775,73.45,73,13,12.66,few clouds
199,Misratah,LY,32.3754,15.0925,71.73,61,7,16.06,clear sky
200,Chimoio,MZ,-19.1164,33.4833,66.06,94,20,6.04,few clouds
201,Dikson,RU,73.5069,80.5464,7.66,92,100,9.73,overcast clouds
202,Sumbe,AO,-11.2061,13.8437,75.16,82,100,11.21,overcast clouds
203,Sampit,ID,-2.5333,112.95,74.16,99,100,2.37,overcast clouds
204,Tazovskiy,RU,67.4667,78.7,13.19,91,100,19.04,overcast clouds
205,Jalu,LY,29.0331,21.5482,76.28,38,16,4.27,few clouds
206,Thinadhoo,MV,0.5333,72.9333,82.63,75,100,14.25,overcast clouds
207,Inuvik,CA,68.3499,-133.7218,27.46,93,90,1.14,overcast clouds
208,Luderitz,NA,-26.6481,15.1594,58.69,93,11,6.49,few clouds
209,Saint George,US,37.1041,-113.5841,72.07,43,1,1.01,clear sky
210,Waitati,NZ,-45.75,170.5667,56.17,87,85,2.13,overcast clouds
211,Maniitsoq,GL,65.4167,-52.9,32.49,43,100,1.88,overcast clouds
212,Springdale,US,36.1867,-94.1288,51.53,97,90,15.99,light rain
213,Carinhanha,BR,-14.3047,-43.765,93.99,24,97,7.38,overcast clouds
214,Grindavik,IS,63.8424,-22.4338,41.47,87,0,12.66,clear sky
215,Askarovo,RU,53.3372,58.5089,34.75,75,75,17.9,broken clouds
216,Hofn,IS,64.2539,-15.2082,42.94,92,100,14.97,light rain
217,Nybro,SE,56.7446,15.9071,50.05,87,65,8.84,broken clouds
218,Nome,US,64.5011,-165.4064,17.67,74,40,0.0,scattered clouds
219,Budingen,DE,50.3,9.1167,47.61,86,8,4.43,clear sky
220,Carnaiba,BR,-8.7,-37.6667,86.02,43,100,17.47,overcast clouds
221,Christchurch,NZ,-43.5333,172.6333,56.03,94,90,1.01,overcast clouds
222,Noshiro,JP,40.2039,140.0242,53.82,67,99,14.47,overcast clouds
223,Belmonte,BR,-15.8631,-38.8828,79.3,72,13,10.76,few clouds
224,San Policarpo,PH,12.1791,125.5072,79.74,83,90,6.93,overcast clouds
225,Ribeira Grande,PT,38.5167,-28.7,68.4,88,20,6.91,few clouds
226,Yumen,CN,40.2833,97.2,37.74,40,14,0.56,few clouds
227,Myitkyina,MM,25.3833,97.4,68.92,90,53,2.1,broken clouds
228,Karlskoga,SE,59.3267,14.5239,56.52,86,100,11.92,overcast clouds
229,Nassau,US,40.7507,-73.5829,62.26,66,90,1.01,overcast clouds
230,Mehamn,NO,71.0357,27.8492,30.38,86,75,16.11,light shower snow
231,Asfi,MA,32.2994,-9.2372,67.15,86,0,10.29,clear sky
232,Severo-Kurilsk,RU,50.6789,156.125,41.7,88,100,6.24,overcast clouds
233,Olafsvik,IS,64.8945,-23.7142,41.68,89,82,31.83,broken clouds
234,Portland,US,45.5234,-122.6762,68.09,87,90,3.0,overcast clouds
235,Rio Grande,BR,-32.035,-52.0986,84.31,66,0,14.58,clear sky
236,Sorland,NO,67.667,12.6934,48.06,89,100,18.63,overcast clouds
237,Dzaoudzi,YT,-12.7887,45.2699,80.49,74,20,11.5,few clouds
238,Sosnovo-Ozerskoye,RU,52.5249,111.5418,31.73,57,100,10.02,overcast clouds
239,Leshukonskoye,RU,64.8989,45.7622,18.0,98,45,2.73,scattered clouds
240,Marysville,US,48.0518,-122.1771,64.09,94,90,1.01,light rain
241,Tocopilla,CL,-22.092,-70.1979,69.53,62,23,6.15,few clouds
242,Villa Maria,AR,-32.4075,-63.2402,95.83,27,0,13.51,clear sky
243,East London,ZA,-33.0153,27.9116,67.14,88,20,3.44,light rain
244,Torbay,CA,47.6666,-52.7314,40.28,89,90,14.97,overcast clouds
245,Katobu,ID,-4.9408,122.5276,75.69,92,92,2.55,overcast clouds
246,Carlos Chagas,BR,-17.7031,-40.7664,82.71,50,28,11.97,scattered clouds
247,Mount Gambier,AU,-37.8333,140.7667,48.11,93,75,17.27,broken clouds
248,Ketchikan,US,55.3422,-131.6461,41.47,87,75,5.75,broken clouds
249,Maningrida,AU,-12.0667,134.2667,79.79,79,82,3.06,broken clouds
250,Roebourne,AU,-20.7833,117.1333,73.15,48,0,11.23,clear sky
251,Lokomotivnyy,RU,53.0118,60.5684,34.47,72,100,16.98,overcast clouds
252,Nakamura,JP,32.9833,132.9333,53.38,82,0,3.62,clear sky
253,Pontianak,ID,-0.0333,109.3333,78.78,94,90,3.44,light rain
254,Priiskovyy,RU,51.9333,116.6333,32.58,83,33,0.94,scattered clouds
255,Taunggyi,MM,20.7833,97.0333,60.3,96,16,1.54,few clouds
256,Poum,NC,-20.2333,164.0167,75.51,80,8,11.18,clear sky
