City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
115,Coihaique,CL,2021-10-22 03:39:02,-45.5752,-72.0662,39.15,81,0,1.14
116,Okahandja,NA,2021-10-22 03:40:14,-21.9833,16.9167,51.84,44,0,1.19
117,Bacolod,PH,2021-10-22 03:35:56,10.6667,122.95,85.64,72,79,14.0
118,Dicamay,PH,2021-10-22 03:40:15,16.7561,122.0037,87.21,62,35,4.47
119,Coahuayana,MX,2021-10-22 03:40:16,18.7333,-103.6833,78.82,90,56,2.37
120,Saint George,US,2021-10-22 03:40:17,37.1041,-113.5841,67.35,40,1,1.99
121,Broome,US,2021-10-22 03:40:17,42.2506,-75.833,60.01,80,75,3.0
122,Calabozo,VE,2021-10-22 03:40:18,8.9242,-67.4293,76.69,72,52,5.21
123,Buraydah,SA,2021-10-22 03:40:18,26.326,43.975,68.45,41,0,6.53
124,Champerico,GT,2021-10-22 03:40:19,14.3,-91.9167,81.36,95,100,11.32
125,Ribeira Grande,PT,2021-10-22 03:40:20,38.5167,-28.7,68.63,72,42,12.82
126,Faanui,PF,2021-10-22 03:36:20,-16.4833,-151.75,79.72,72,2,7.99
127,Lufilufi,WS,2021-10-22 03:40:20,-13.8745,-171.5986,82.18,78,99,19.64
128,Nizhniy Odes,RU,2021-10-22 03:40:21,63.6445,54.856,31.19,96,98,6.17
129,Bairiki,KI,2021-10-22 03:40:21,1.3292,172.9752,87.8,62,20,8.05
130,Te Anau,NZ,2021-10-22 03:40:22,-45.4167,167.7167,63.18,50,20,2.24
131,Nalut,LY,2021-10-22 03:40:23,30.3333,10.85,66.96,44,3,13.78
132,Sabang,ID,2021-10-22 03:40:23,5.8933,95.3214,81.05,73,98,2.66
133,Sulangan,PH,2021-10-22 03:40:23,11.1373,123.7228,83.16,77,100,12.97
134,Yellowknife,CA,2021-10-22 03:40:24,62.456,-114.3525,44.42,75,1,16.11
135,Poum,NC,2021-10-22 03:40:25,-20.2333,164.0167,75.4,74,4,8.57
136,Mahebourg,MU,2021-10-22 03:40:25,-20.4081,57.7,77.25,83,75,9.22
137,Vestmanna,FO,2021-10-22 03:40:26,62.1564,-7.1664,38.32,70,40,16.11
138,Emerald,AU,2021-10-22 03:40:26,-23.5333,148.1667,99.34,30,40,11.5
139,Yining,CN,2021-10-22 03:40:27,29.0361,114.5636,58.57,77,100,2.24
140,Avera,US,2021-10-22 03:40:28,33.194,-82.5271,71.47,72,80,7.7
141,Chuy,UY,2021-10-22 03:40:29,-33.6971,-53.4616,52.97,89,0,4.18
142,Hofn,IS,2021-10-22 03:40:29,64.2539,-15.2082,31.96,59,33,8.59
143,Tecpatan,MX,2021-10-22 03:40:30,17.1333,-93.3,72.41,99,100,2.21
144,Jurado,CO,2021-10-22 03:40:30,7.1053,-77.7641,76.66,91,99,3.87
145,Urumqi,CN,2021-10-22 03:40:05,43.801,87.6005,49.15,35,0,2.24
146,Luis Correia,BR,2021-10-22 03:40:31,-2.8792,-41.6669,79.23,85,61,10.22
147,The Valley,AI,2021-10-22 03:38:37,18.217,-63.0578,83.1,64,15,19.69
148,Nuuk,GL,2021-10-22 03:40:32,64.1835,-51.7216,30.81,64,95,13.8
149,Bay Roberts,CA,2021-10-22 03:40:32,47.5999,-53.2648,46.33,78,7,4.0
150,Puerto Ayora,EC,2021-10-22 03:36:48,-0.7393,-90.3518,69.66,89,89,7.29
151,Saint-Augustin,CA,2021-10-22 03:40:33,51.226,-58.6502,37.06,69,38,7.67
152,Eresos,GR,2021-10-22 03:40:34,39.1667,25.9333,51.31,75,2,8.86
153,Namatanai,PG,2021-10-22 03:40:34,-3.6667,152.4333,83.34,71,99,7.14
154,Lamu,KE,2021-10-22 03:40:35,-2.2717,40.902,77.22,74,77,13.0
155,Arraial Do Cabo,BR,2021-10-22 03:35:57,-22.9661,-42.0278,66.58,69,96,6.08
156,Khatanga,RU,2021-10-22 03:40:35,71.9667,102.5,5.25,95,99,8.12
157,Morondava,MG,2021-10-22 03:40:36,-20.2833,44.2833,69.39,75,2,4.03
158,Chokurdakh,RU,2021-10-22 03:40:37,70.6333,147.9167,-11.74,96,51,3.33
159,Muroto,JP,2021-10-22 03:40:37,33.2833,134.15,66.24,71,100,8.25
160,Garbolovo,RU,2021-10-22 03:40:38,60.3413,30.4955,48.16,75,100,20.78
161,Cruzeiro Do Sul,BR,2021-10-22 03:40:39,-29.5128,-51.9853,59.97,91,0,1.57
162,Bilma,NE,2021-10-22 03:40:39,18.6853,12.9164,77.85,20,17,9.62
